SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,$/SQUARE FEET
PAST SALE,2017-11-01,Single Family Residential,119 Millrich Dr,LOS GATOS,CA,95030,2210000,4,2.5,LOS GATOS,2074,8610,1066
PAST SALE,2017-11-01,Single Family Residential,102 Ross Creek Ct,LOS GATOS,CA,95032,1870000,4,2.5,LOS GATOS,2150,8363,870
PAST SALE,2017-11-01,Single Family Residential,149 Wissahickon Ave,LOS GATOS,CA,95030,3200000,4,4.5,LOS GATOS,4064,8000,787
PAST SALE,2017-11-03,Single Family Residential,209 Mary Alice Dr,LOS GATOS,CA,95032,1330000,3,2,LOS GATOS,1160,6000,1147
PAST SALE,2017-11-03,Single Family Residential,115 Old Adobe Rd,LOS GATOS,CA,95032,1840000,4,2.5,LOS GATOS,2331,21000,789
PAST SALE,2017-11-03,Single Family Residential,241 Plaza La Posada,LOS GATOS,CA,95032,2735000,5,5,LOS GATOS,5586,10000,490
PAST SALE,2017-11-03,Single Family Residential,112 Harwood Ct,LOS GATOS,CA,95032,3250000,5,5,LOS GATOS,6181,165092,526
PAST SALE,2017-11-06,Single Family Residential,1641 Elwood Dr,Los Gatos,CA,95032,1605000,4,2,Los Gatos,1854,6000,866
PAST SALE,2017-11-07,Single Family Residential,15919 Longwood Dr,LOS GATOS,CA,95032,1990000,3,2.5,LOS GATOS,2061,9350,966
PAST SALE,2017-11-08,Single Family Residential,18086 Reed Knoll Rd,LOS GATOS,CA,95033,1238000,3,2,LOS GATOS,2489,38071,497
PAST SALE,2017-11-08,Single Family Residential,2239 Blossom Hill Rd,SAN JOSE,CA,95124,1749000,3,2.5,SAN JOSE,2748,26795,636
PAST SALE,2017-11-08,Single Family Residential,16990 Frank Ave,LOS GATOS,CA,95032,2075000,4,2.5,LOS GATOS,2041,7938,1017
PAST SALE,2017-11-08,Single Family Residential,15815 GLEN UNA Dr,LOS GATOS,CA,95030,7110000,5,5.5,LOS GATOS,7152,46609,994
PAST SALE,2017-11-09,Single Family Residential,181 Ivy Hill Way,LOS GATOS,CA,95032,1395000,3,2,LOS GATOS,1488,7440,938
PAST SALE,2017-11-09,Single Family Residential,21117 Brush Rd,LOS GATOS,CA,95033,2380000,4,3,LOS GATOS,3400,90608,700
PAST SALE,2017-11-09,Single Family Residential,103 Shire Ct,LOS GATOS,CA,95032,2669550,3,3,LOS GATOS,2655,10405,1005
PAST SALE,2017-11-09,Single Family Residential,140 TWIN OAKS Dr,LOS GATOS,CA,95032,2700000,5,3,LOS GATOS,2929,21125,922
PAST SALE,2017-11-10,Single Family Residential,20741 Bear Creek Rd,LOS GATOS,CA,95033,875000,2,2,LOS GATOS,1144,1742400,765
PAST SALE,2017-11-12,Single Family Residential,301 Johnson Ave,LOS GATOS,CA,95030,2185000,5,3,LOS GATOS,1796,6250,1217
PAST SALE,2017-11-13,Condo/Co-op,420 Alberto Way #8,LOS GATOS,CA,95032,770000,2,2.5,LOS GATOS,1120,1120,688
PAST SALE,2017-11-13,Condo/Co-op,95 Church St #2208,LOS GATOS,CA,95030,1228000,2,2,LOS GATOS,1545,2100,795
PAST SALE,2017-11-13,Single Family Residential,15415 National Ave,LOS GATOS,CA,95032,1480000,2,1,LOS GATOS,1140,23800,1298
PAST SALE,2017-11-13,Single Family Residential,18800 Blythswood Dr,LOS GATOS,CA,95030,2425000,5,2.5,LOS GATOS,2829,70854,857
PAST SALE,2017-11-14,Single Family Residential,5125 Kozo Ct,SAN JOSE,CA,95124,1206000,3,2,SAN JOSE,1422,3649,848
PAST SALE,2017-11-14,Townhouse,105 Palmer Dr,LOS GATOS,CA,95032,1180000,3,2.5,LOS GATOS,1842,831,641
PAST SALE,2017-11-14,Single Family Residential,26183 Loma Prieta Way,LOS GATOS,CA,95033,1565000,4,2.5,LOS GATOS,2468,230476,634
PAST SALE,2017-11-14,Single Family Residential,124 YOSEMITE Way,LOS GATOS,CA,95030,1340000,3,2,LOS GATOS,947,4600,1415
PAST SALE,2017-11-14,Single Family Residential,100 Terreno De Flores Cir,LOS GATOS,CA,95032,1500000,3,2.5,LOS GATOS,1919,5184,782
PAST SALE,2017-11-14,Single Family Residential,364 Market St,LOS GATOS,CA,95032,1780721,3,2.5,LOS GATOS,2224,3059,801
PAST SALE,2017-11-16,Single Family Residential,16770 Redwood Lodge Rd,LOS GATOS,CA,95033,1375000,7,6.5,LOS GATOS,4000,431505,344
PAST SALE,2017-11-16,Single Family Residential,216 Danville Dr,LOS GATOS,CA,95032,1658880,3,3,LOS GATOS,2056,7980,807
PAST SALE,2017-11-16,Single Family Residential,15850 Viewfield Rd,MONTE SERENO,CA,95030,6500000,5,6,MONTE SERENO,6294,98402,1033
PAST SALE,2017-11-17,Single Family Residential,58 Euclid Ave,LOS GATOS,CA,95030,1699950,3,2,LOS GATOS,1510,8379,1126
PAST SALE,2017-11-17,Single Family Residential,16204 George St,LOS GATOS,CA,95032,2489000,4,4.5,LOS GATOS,3139,3852,793
PAST SALE,2017-11-20,Single Family Residential,14340 Mulberry Dr,LOS GATOS,CA,95032,2275000,4,3.5,LOS GATOS,2414,9920,942
PAST SALE,2017-11-20,Single Family Residential,16420 W LA CHIQUITA Ave,LOS GATOS,CA,95032,3150000,4,3.5,LOS GATOS,3976,10150,792
PAST SALE,2017-11-21,Townhouse,231 Casitas Bulevar,LOS GATOS,CA,95032,1149000,3,2.5,LOS GATOS,1639,2100,701
PAST SALE,2017-11-21,Single Family Residential,16040 Greenridge Ter,LOS GATOS,CA,95032,2350000,5,4.5,LOS GATOS,3540,46173,664
PAST SALE,2017-11-22,Single Family Residential,15760 El Gato Ln,LOS GATOS,CA,95032,1535000,2,2,LOS GATOS,1100,8478,1395
PAST SALE,2017-11-22,Single Family Residential,327 Carlton Ave,LOS GATOS,CA,95032,2039000,4,3,LOS GATOS,3066,11040,665
PAST SALE,2017-11-22,Single Family Residential,234 Hernandez Ave,LOS GATOS,CA,95030,3148000,5,4,LOS GATOS,3860,13658,816
PAST SALE,2017-11-27,Single Family Residential,400 Los Gatos Blvd,LOS GATOS,CA,95032,1700000,3,2.5,LOS GATOS,1388,7800,1225
PAST SALE,2017-11-28,Single Family Residential,15011 Winchester Blvd,MONTE SERENO,CA,95030,1675000,3,2,MONTE SERENO,1862,12220,900
PAST SALE,2017-11-28,Townhouse,105 EL ALTILLO,LOS GATOS,CA,95032,1365000,3,2.5,LOS GATOS,2318,2400,589
PAST SALE,2017-11-28,Single Family Residential,131 Olive St,LOS GATOS,CA,95030,1350000,2,1,LOS GATOS,1011,3588,1335
PAST SALE,2017-11-28,Single Family Residential,15270 Oak Ridge Way,LOS GATOS,CA,95030,4400000,5,4.5,LOS GATOS,5000,21860,880
PAST SALE,2017-11-29,Single Family Residential,16901 Sheldon Rd,LOS GATOS,CA,95030,1550000,2,2.5,LOS GATOS,1059,15840,1464
PAST SALE,2017-11-29,Single Family Residential,293 Marchmont Dr,LOS GATOS,CA,95032,2245000,5,2.5,LOS GATOS,2478,10250,906
PAST SALE,2017-11-29,Single Family Residential,17422 Pleasant View Ave,MONTE SERENO,CA,95030,2840000,5,3.5,MONTE SERENO,2988,11253,950
PAST SALE,2017-11-30,Townhouse,100 Walnut Hill Ct,LOS GATOS,CA,95032,950000,2,2,LOS GATOS,1004,3024,946
PAST SALE,2017-11-30,Single Family Residential,208 Calle Marguerita,LOS GATOS,CA,95032,1855000,5,3,LOS GATOS,2238,11092,829
PAST SALE,2017-11-30,Single Family Residential,15933 Linda Ave,LOS GATOS,CA,95032,1755000,1,1,LOS GATOS,720,11628,2438
PAST SALE,2017-12-01,Townhouse,16131 Loretta Ln,LOS GATOS,CA,95032,910000,3,2.5,LOS GATOS,1318,529,690
PAST SALE,2017-12-01,Single Family Residential,231 Plaza La Posada,LOS GATOS,CA,95032,2000000,4,2.5,LOS GATOS,2133,10400,938
PAST SALE,2017-12-01,Single Family Residential,50 Clifton Ave,LOS GATOS,CA,95030,1800000,3,3,LOS GATOS,2011,36500,895
PAST SALE,2017-12-04,Single Family Residential,17190 Laurel Rd,LOS GATOS,CA,95033,806000,3,2.5,LOS GATOS,1800,88078,448
PAST SALE,2017-12-04,Single Family Residential,5102 Redstone Dr,SAN JOSE,CA,95124,1400000,3,2,SAN JOSE,1576,10050,888
PAST SALE,2017-12-04,Single Family Residential,369 Market St,LOS GATOS,CA,95032,1685000,3,2.5,LOS GATOS,2026,3386,832
PAST SALE,2017-12-05,Condo/Co-op,171 Villa Ave,LOS GATOS,CA,95030,1200000,2,1.5,LOS GATOS,1523,870,788
PAST SALE,2017-12-05,Single Family Residential,265 Burrell Ct,LOS GATOS,CA,95033,1269500,5,2.5,LOS GATOS,2082,174850,610
PAST SALE,2017-12-05,Single Family Residential,1408 Burrows Rd,CAMPBELL,CA,95008,1500000,3,1,CAMPBELL,1295,10437,1158
PAST SALE,2017-12-05,Townhouse,15400 Winchester Blvd #24,LOS GATOS,CA,95030,1427000,3,2.5,LOS GATOS,1800,5971,793
PAST SALE,2017-12-05,Single Family Residential,105 Lansberry Ct,LOS GATOS,CA,95032,2775000,3,2.5,LOS GATOS,2572,9147,1079
PAST SALE,2017-12-06,Townhouse,16157 Loretta Ln,CAMPBELL,CA,95008,865000,3,2.5,CAMPBELL,1318,529,656
PAST SALE,2017-12-06,Single Family Residential,17333 Old Ranch Rd,LOS GATOS,CA,95033,1350000,4,4,LOS GATOS,2845,285100,475
PAST SALE,2017-12-06,Single Family Residential,166 Spreckles Ave,LOS GATOS,CA,95030,2015000,3,2,LOS GATOS,1466,22925,1374
PAST SALE,2017-12-06,Townhouse,356 Bean Ave,LOS GATOS,CA,95030,1875000,3,2.5,LOS GATOS,2283,1917,821
PAST SALE,2017-12-06,Single Family Residential,15012 DANIELLE Pl,MONTE SERENO,CA,95030,3950000,5,5.5,MONTE SERENO,5070,44100,779
PAST SALE,2017-12-06,Single Family Residential,159 College Ave,LOS GATOS,CA,95030,2770000,4,3.5,LOS GATOS,3450,14374,803
PAST SALE,2017-12-08,Single Family Residential,4 N Name Rd,LOS GATOS,CA,95033,1085000,4,3,LOS GATOS,2377,88993,456
PAST SALE,2017-12-12,Condo/Co-op,14577 S Bascom Ave,LOS GATOS,CA,95032,900000,3,2.5,LOS GATOS,1318,529,683
PAST SALE,2017-12-13,Single Family Residential,17785 Comanche Trl,LOS GATOS,CA,95033,925000,2,2,LOS GATOS,1310,20440,706
PAST SALE,2017-12-13,Single Family Residential,15785 Linda Ave,LOS GATOS,CA,95032,1600000,3,1.5,LOS GATOS,1507,7980,1062
PAST SALE,2017-12-14,Single Family Residential,1693 Canna Ln,SAN JOSE,CA,95124,1585000,4,2,SAN JOSE,1364,6039,1162
PAST SALE,2017-12-14,Single Family Residential,14930 Larga Vista Dr,LOS GATOS,CA,95032,3993000,4,4.5,LOS GATOS,5275,55147,757
PAST SALE,2017-12-14,Single Family Residential,16440 S Kennedy Rd,LOS GATOS,CA,95030,5500000,5,5,LOS GATOS,7313,43586,752
PAST SALE,2017-12-15,Condo/Co-op,451 Alberto Way #147,LOS GATOS,CA,95032,700000,2,2,LOS GATOS,1136,436,616
PAST SALE,2017-12-15,Single Family Residential,1709 Canna Ln,SAN JOSE,CA,95124,1399999,3,2,SAN JOSE,1210,6060,1157
PAST SALE,2017-12-15,Single Family Residential,105 Hepplewhite Ct,LOS GATOS,CA,95032,2360000,4,2.5,LOS GATOS,3104,12975,760
PAST SALE,2017-12-15,Single Family Residential,16500 Mozart Ave,LOS GATOS,CA,95032,2150000,3,3,LOS GATOS,2672,18300,805
PAST SALE,2017-12-15,Single Family Residential,339 Market St,LOS GATOS,CA,95032,1756051,4,3,LOS GATOS,2165,2843,811
PAST SALE,2017-12-15,Single Family Residential,512 Nino Ave,LOS GATOS,CA,95032,2675000,4,4,LOS GATOS,2605,8850,1027
PAST SALE,2017-12-18,Single Family Residential,219 Casitas Bulevar,LOS GATOS,CA,95032,1550000,3,2.5,LOS GATOS,2175,2312,713
PAST SALE,2017-12-18,Single Family Residential,16340 Soda Springs Rd,LOS GATOS,CA,95033,1565000,4,3.5,LOS GATOS,2922,275299,536
PAST SALE,2017-12-18,Single Family Residential,22645 Summit Rd,LOS GATOS,CA,95033,1750000,4,4,LOS GATOS,3645,74487,480
PAST SALE,2017-12-18,Single Family Residential,109 Chippendale Ct,LOS GATOS,CA,95032,2455000,6,4.5,LOS GATOS,4105,14500,598
PAST SALE,2017-12-18,Single Family Residential,22645 Summit Rd,LOS GATOS,CA,95033,1750000,4,4,LOS GATOS,3645,74487,480
PAST SALE,2017-12-19,Single Family Residential,23596 Sky Vw,LOS GATOS,CA,95033,892366,3,2.5,LOS GATOS,1956,48090,456
PAST SALE,2017-12-19,Single Family Residential,159 Teresita Way,LOS GATOS,CA,95032,2750000,4,3.5,LOS GATOS,4308,40000,638
PAST SALE,2017-12-21,Single Family Residential,121 Wood Rd,LOS GATOS,CA,95030,2250000,3,2,LOS GATOS,2625,39126,857
PAST SALE,2017-12-22,Townhouse,205 Escobar Ave,LOS GATOS,CA,95032,1180000,3,2,LOS GATOS,1218,2361,969
PAST SALE,2017-12-22,Condo/Co-op,14225 Lora Dr #90,LOS GATOS,CA,95032,631000,2,1,LOS GATOS,1000,2242,631
PAST SALE,2017-12-22,Single Family Residential,18351 Overlook Rd,LOS GATOS,CA,95030,2527000,4,3,LOS GATOS,2338,7000,1081
PAST SALE,2017-12-22,Single Family Residential,15955 Cerro Vista Ct,LOS GATOS,CA,95032,3200000,4,3.5,LOS GATOS,5033,47044,636
PAST SALE,2017-12-22,Single Family Residential,1570 Van Dusen Ln,CAMPBELL,CA,95008,3075000,6,5.5,CAMPBELL,4868,13591,632
PAST SALE,2017-12-26,Condo/Co-op,95 Church St #2104,LOS GATOS,CA,95030,895000,1,1,LOS GATOS,1059,2100,845
PAST SALE,2017-12-28,Condo/Co-op,120 Oak Rim Way #23,LOS GATOS,CA,95032,940000,2,1.5,LOS GATOS,1040,672,904
PAST SALE,2017-12-28,Single Family Residential,22120 Oak Flat Rd,LOS GATOS,CA,95033,885000,3,2.5,LOS GATOS,1968,126455,450
PAST SALE,2017-12-28,Single Family Residential,5212 Union Ave,SAN JOSE,CA,95124,1399000,4,3,SAN JOSE,2005,3564,698
PAST SALE,2017-12-28,Single Family Residential,19 Grove St,LOS GATOS,CA,95030,3225000,4,4.5,LOS GATOS,4927,9900,655
PAST SALE,2017-12-29,Townhouse,435 Alberto Way #11,LOS GATOS,CA,95032,1050000,3,2.5,LOS GATOS,1448,672,725
PAST SALE,2017-12-29,Single Family Residential,16166 Los Gatos Almaden Rd,LOS GATOS,CA,95032,1775000,3,1.5,LOS GATOS,1315,9990,1350
PAST SALE,2018-01-03,Single Family Residential,33 Ashler Ave,LOS GATOS,CA,95030,1825000,3,2,LOS GATOS,1264,5652,1444
PAST SALE,2018-01-04,Single Family Residential,18382 Knuth Rd,LOS GATOS,CA,95033,1286750,3,2.5,LOS GATOS,2375,37374,542
PAST SALE,2018-01-04,Townhouse,17574 Bruce Ave,LOS GATOS,CA,95030,1350000,3,2.5,LOS GATOS,1668,817,809
PAST SALE,2018-01-04,Single Family Residential,14560 Blossom Hill Rd,LOS GATOS,CA,95032,1625000,4,2.5,LOS GATOS,2135,11415,761
PAST SALE,2018-01-08,Townhouse,18400 Overlook Rd #65,LOS GATOS,CA,95030,1335000,3,2.5,LOS GATOS,1916,1624,697
PAST SALE,2018-01-09,Single Family Residential,26050 Pierce Rd,LOS GATOS,CA,95033,1175000,4,3,LOS GATOS,3270,267066,359
PAST SALE,2018-01-09,Single Family Residential,25495 Firhaven Ln,LOS GATOS,CA,95033,890000,4,2,LOS GATOS,1427,57761,624
PAST SALE,2018-01-09,Single Family Residential,5505 Copeland Ct,SAN JOSE,CA,95124,1621000,3,2,SAN JOSE,1612,6084,1006
PAST SALE,2018-01-10,Single Family Residential,22077 Old Santa Cruz Hwy,LOS GATOS,CA,95033,1157000,4,3.5,LOS GATOS,2188,88471,529
PAST SALE,2018-01-10,Single Family Residential,350 Bella Vista Ave,LOS GATOS,CA,95032,2271500,3,2,LOS GATOS,2023,7752,1123
PAST SALE,2018-01-10,Single Family Residential,170 Stacia St,LOS GATOS,CA,95030,5432100,5,6,LOS GATOS,6768,22817,803
PAST SALE,2018-01-11,Single Family Residential,23341 Deerfield Rd,LOS GATOS,CA,95033,875000,4,3,LOS GATOS,2105,60766,416
PAST SALE,2018-01-11,Single Family Residential,227 Nob Hill Way,LOS GATOS,CA,95032,1861200,4,2,LOS GATOS,1400,9915,1329
PAST SALE,2018-01-12,Single Family Residential,20915 Comanche Trl,LOS GATOS,CA,95033,632900,4,1.5,LOS GATOS,1866,12960,339
PAST SALE,2018-01-12,Single Family Residential,33200 Loma Chiquita Rd,LOS GATOS,CA,95033,819000,5,2,LOS GATOS,1904,217800,430
PAST SALE,2018-01-16,Condo/Co-op,215 Altura Vis,LOS GATOS,CA,95032,1150000,2,2,LOS GATOS,1440,2401,799
PAST SALE,2018-01-18,Condo/Co-op,600 Pennsylvania Ave #24,LOS GATOS,CA,95030,926000,2,2,LOS GATOS,1440,1383,643
PAST SALE,2018-01-19,Single Family Residential,21551 Mary Alice Way,LOS GATOS,CA,95033,780000,3,1,LOS GATOS,1060,11409,736
PAST SALE,2018-01-19,Single Family Residential,5495 Copeland Ct,SAN JOSE,CA,95124,1680000,4,2.5,SAN JOSE,2441,8000,688
PAST SALE,2018-01-19,Single Family Residential,15081 Larga Vista Dr,LOS GATOS,CA,95032,2550006,5,4,LOS GATOS,4086,20475,624
PAST SALE,2018-01-22,Single Family Residential,17959 Mountain Charlie Rd,LOS GATOS,CA,95033,976250,3,2,LOS GATOS,1584,50529,616
PAST SALE,2018-01-23,Single Family Residential,13072 Bell Rd,LOS GATOS,CA,95033,820000,1,1,LOS GATOS,1091,134600,752
PAST SALE,2018-01-23,Townhouse,16979 Roberts Rd #1,LOS GATOS,CA,95032,1475000,3,2.5,LOS GATOS,2074,4791,711
PAST SALE,2018-01-25,Single Family Residential,106 Calle Estoria,LOS GATOS,CA,95032,1694000,3,2,LOS GATOS,1577,9228,1074
PAST SALE,2018-01-26,Single Family Residential,221 Highland Ter,LOS GATOS,CA,95030,2800000,3,2.5,LOS GATOS,3153,137470,888
PAST SALE,2018-01-29,Single Family Residential,1280 Juanita Way,CAMPBELL,CA,95008,2350000,4,3.5,CAMPBELL,3642,10500,645
PAST SALE,2018-01-31,Condo/Co-op,14225 Lora Dr #30,LOS GATOS,CA,95032,482500,1,1,LOS GATOS,816,811,591
PAST SALE,2018-01-31,Single Family Residential,178 Wedgewood Ave,LOS GATOS,CA,95032,1930000,4,2.5,LOS GATOS,2224,9198,868
PAST SALE,2018-02-02,Single Family Residential,21440 Roaring Water Way,LOS GATOS,CA,95033,360000,4,2,LOS GATOS,1680,7200,214
PAST SALE,2018-02-02,Condo/Co-op,175 Villa Ave,LOS GATOS,CA,95030,1195000,2,1.5,LOS GATOS,1145,781,1044
PAST SALE,2018-02-02,Single Family Residential,110 Belridge Dr,LOS GATOS,CA,95032,1970000,6,3,LOS GATOS,2448,11560,805
PAST SALE,2018-02-05,Single Family Residential,16221 Roseleaf Ln,LOS GATOS,CA,95032,2320000,3,2,LOS GATOS,1716,8560,1352
PAST SALE,2018-02-08,Condo/Co-op,152 Escobar Ave,LOS GATOS,CA,95032,1000000,2,2,LOS GATOS,1015,1890,985
PAST SALE,2018-02-08,Single Family Residential,320 Creekside Village Dr,LOS GATOS,CA,95032,1601000,3,2.5,LOS GATOS,1390,2503,1152
PAST SALE,2018-02-08,Single Family Residential,15729 Linda Ave,LOS GATOS,CA,95032,1610000,2,2,LOS GATOS,1669,8002,965
PAST SALE,2018-02-09,Single Family Residential,48 Chestnut Ave,LOS GATOS,CA,95030,1750000,3,2.5,LOS GATOS,1500,8030,1167
PAST SALE,2018-02-09,Single Family Residential,48 Chestnut Ave,LOS GATOS,CA,95030,1750000,3,2.5,LOS GATOS,1500,8030,1167
PAST SALE,2018-02-09,Single Family Residential,16998 Kennedy Rd,LOS GATOS,CA,95032,1888000,2,2,LOS GATOS,1375,7894,1373
PAST SALE,2018-02-12,Townhouse,16155 Loretta,LOS GATOS,CA,95032,931000,3,2.5,LOS GATOS,1318,549,706
PAST SALE,2018-02-13,Condo/Co-op,14225 Lora Dr #84,LOS GATOS,CA,95032,525000,1,1,LOS GATOS,816,811,643
PAST SALE,2018-02-14,Single Family Residential,226 Jo Dr,LOS GATOS,CA,95032,1638880,3,2,LOS GATOS,1780,6036,921
PAST SALE,2018-02-15,Single Family Residential,17551 Eaton Ln,MONTE SERENO,CA,95030,5325000,4,3.5,MONTE SERENO,4158,43972,1281
PAST SALE,2018-02-16,Townhouse,18400 Overlook Rd #17,LOS GATOS,CA,95030,1437500,3,2.5,LOS GATOS,1916,1663,750
PAST SALE,2018-02-16,Single Family Residential,120 Mill Rd,LOS GATOS,CA,95032,1672800,3,2.5,LOS GATOS,2114,1994,791
PAST SALE,2018-02-16,Single Family Residential,231 Westchester Dr,LOS GATOS,CA,95032,2050000,4,2.5,LOS GATOS,2097,9718,978
PAST SALE,2018-02-19,Single Family Residential,16666 Oleander Ave,LOS GATOS,CA,95032,2400000,4,3,LOS GATOS,2536,15580,946
PAST SALE,2018-02-20,Townhouse,126 Via Lago,LOS GATOS,CA,95032,1410000,3,2.5,LOS GATOS,1848,924,763
PAST SALE,2018-02-20,Single Family Residential,17610 Bruce Ave,LOS GATOS,CA,95030,2125000,3,2,LOS GATOS,1931,9881,1100
PAST SALE,2018-02-21,Single Family Residential,14350 Blossom Hill Rd,LOS GATOS,CA,95032,1680000,4,3,LOS GATOS,2456,7851,684
PAST SALE,2018-02-22,Single Family Residential,17537 Santa Cruz Hwy,LOS GATOS,CA,95033,706251,1,2,LOS GATOS,1122,236260,629
PAST SALE,2018-02-23,Single Family Residential,266 Longridge Rd,LOS GATOS,CA,95032,2300000,4,2,LOS GATOS,2217,7000,1037
PAST SALE,2018-02-27,Condo/Co-op,449 Alberto Way #231,LOS GATOS,CA,95032,704000,2,2,LOS GATOS,1076,,654
PAST SALE,2018-02-27,Single Family Residential,136 Las Astas Dr,LOS GATOS,CA,95032,1400000,4,2,LOS GATOS,1722,7270,813
PAST SALE,2018-02-28,Condo/Co-op,576 W Parr Ave #8,LOS GATOS,CA,95032,520000,1,1,LOS GATOS,937,920,555
PAST SALE,2018-02-28,Single Family Residential,17899 Wedgewood Ave,LOS GATOS,CA,95032,2400000,5,3,LOS GATOS,2930,18019,819
PAST SALE,2018-02-28,Single Family Residential,15064 Kennedy Rd,LOS GATOS,CA,95032,2333000,4,2,LOS GATOS,2368,536659,985
PAST SALE,2018-02-28,Single Family Residential,205 Caldwell Ave,LOS GATOS,CA,95032,2000000,4,3,LOS GATOS,1983,5556,1009
PAST SALE,2018-02-28,Single Family Residential,101 Crider Ct,LOS GATOS,CA,95032,3020000,4,3.5,LOS GATOS,4104,40946,736
PAST SALE,2018-02-28,Single Family Residential,130 Robin Way,LOS GATOS,CA,95032,2800000,3,3,LOS GATOS,2816,15876,994
PAST SALE,2018-03-02,Condo/Co-op,258 E Main St Unit C,LOS GATOS,CA,95030,1500000,3,2.5,LOS GATOS,1935,1164,775
PAST SALE,2018-03-02,Single Family Residential,1893 Anne Way,SAN JOSE,CA,95124,1582000,4,3,SAN JOSE,1830,7127,864
PAST SALE,2018-03-02,Single Family Residential,131 Calle El Padre,LOS GATOS,CA,95032,2096000,3,3,LOS GATOS,2093,10580,1001
PAST SALE,2018-03-02,Single Family Residential,33 Bayview Ave,LOS GATOS,CA,95030,4000000,4,4,LOS GATOS,4900,14151,816
PAST SALE,2018-03-05,Single Family Residential,195 Jo Dr,LOS GATOS,CA,95032,1400000,3,2,LOS GATOS,1196,6018,1171
PAST SALE,2018-03-06,Single Family Residential,29 Broadway,LOS GATOS,CA,95030,1625000,2,1.5,LOS GATOS,1102,7503,1475
PAST SALE,2018-03-06,Single Family Residential,136 Via Santa Maria,LOS GATOS,CA,95030,2585000,4,2.5,LOS GATOS,2268,10348,1140
PAST SALE,2018-03-07,Condo/Co-op,576 W Parr Ave #4,LOS GATOS,CA,95032,548500,2,1,LOS GATOS,934,954,587
PAST SALE,2018-03-07,Single Family Residential,100 Hepplewhite Ct,LOS GATOS,CA,95032,2325000,4,3,LOS GATOS,2357,9300,986
PAST SALE,2018-03-08,Townhouse,116 Amber Oak Ct,LOS GATOS,CA,95032,1230000,3,2.5,LOS GATOS,1533,1638,802
PAST SALE,2018-03-08,Single Family Residential,15300 Upper Ellen Rd,LOS GATOS,CA,95033,750000,3,3,LOS GATOS,2190,140655,342
PAST SALE,2018-03-08,Single Family Residential,16236 Lilac Ln,LOS GATOS,CA,95032,2250000,4,3,LOS GATOS,2385,8802,943
PAST SALE,2018-03-08,Single Family Residential,15500 Benedict Ln,LOS GATOS,CA,95032,1800000,3,2,LOS GATOS,1485,9637,1212
PAST SALE,2018-03-09,Single Family Residential,229 Wilder Ave,LOS GATOS,CA,95030,2575000,3,2.5,LOS GATOS,2075,4710,1241
PAST SALE,2018-03-10,Townhouse,129 El Olivar,LOS GATOS,CA,95032,1365000,3,2,LOS GATOS,1637,2597,834
PAST SALE,2018-03-12,Single Family Residential,23416 Sunset Dr,LOS GATOS,CA,95033,1155000,3,2,LOS GATOS,1823,25439,634
PAST SALE,2018-03-12,Condo/Co-op,104 Strathmore Pl,LOS GATOS,CA,95032,1580000,4,3,LOS GATOS,2122,2220,745
PAST SALE,2018-03-12,Single Family Residential,159 Belvue Dr,LOS GATOS,CA,95032,1950000,3,2,LOS GATOS,2068,10000,943
PAST SALE,2018-03-13,Single Family Residential,186 Vista Del Monte,LOS GATOS,CA,95030,3100000,4,2.5,LOS GATOS,3456,11210,897
PAST SALE,2018-03-14,Single Family Residential,5518 Harwood Rd,San Jose,CA,95124,1600000,3,2,Cambrian Park,1437,7854,1113
PAST SALE,2018-03-14,Single Family Residential,15620 Loma Vista Ave,LOS GATOS,CA,95032,2330000,3,3,LOS GATOS,2454,7400,949
PAST SALE,2018-03-14,Single Family Residential,242 Almendra Ave,LOS GATOS,CA,95030,1900000,3,2,LOS GATOS,1396,6500,1361
PAST SALE,2018-03-14,Single Family Residential,193 La Montagne Ct,LOS GATOS,CA,95032,2875000,5,4.5,LOS GATOS,3960,13891,726
PAST SALE,2018-03-15,Single Family Residential,21664 Oak Flat Rd,LOS GATOS,CA,95033,933750,3,2,LOS GATOS,1992,125104,469
PAST SALE,2018-03-15,Single Family Residential,24061 Summit Woods Dr,LOS GATOS,CA,95033,1451000,4,3.5,LOS GATOS,2963,41730,490
PAST SALE,2018-03-15,Single Family Residential,16200 Old Japanese Rd,LOS GATOS,CA,95033,1560000,4,4,LOS GATOS,4577,441742,341
PAST SALE,2018-03-15,Single Family Residential,402 Bella Vista Ave,LOS GATOS,CA,95032,2264000,3,2,LOS GATOS,1711,8855,1323
PAST SALE,2018-03-15,Single Family Residential,160 Prospect Ave Lot 12,LOS GATOS,CA,95030,5775000,5,4.5,LOS GATOS,4359,20346,1325
PAST SALE,2018-03-16,Townhouse,519 Pine Wood Ln,LOS GATOS,CA,95032,1335000,3,2.5,LOS GATOS,1520,1709,878
PAST SALE,2018-03-16,Single Family Residential,15612 Linda Ave,LOS GATOS,CA,95032,2050000,3,2,LOS GATOS,2095,8138,979
PAST SALE,2018-03-16,Single Family Residential,179 Belvue Dr,LOS GATOS,CA,95032,1775000,4,2,LOS GATOS,2100,10552,845
PAST SALE,2018-03-16,Single Family Residential,103 Crider Ct,LOS GATOS,CA,95032,2120000,5,4,LOS GATOS,3848,44650,551
